Year,Round,Institute,Branch,Category,Domicile,OpeningRank,ClosingRank,BranchSeats,TotalSeats,TotalCandidates
2014,R1,MITS,IT,UR/X/OP,Y,60028,63755,3,60,1356000
2014,R1,MITS,IT,UR/X/OP,Y,65827,85823,18,60,1356000
2014,R1,MITS,IT,UR/S/OP,Y,87809,87809,1,60,1356000
2014,R1,MITS,IT,UR/X/F,Y,65764,92967,7,60,1356000
2014,R1,MITS,IT,OBC/X/OP,Y,68718,93230,6,60,1356000
2014,R1,MITS,IT,OBC/X/F,Y,117884,133334,2,60,1356000
2014,R1,MITS,IT,UR/FF/F,Y,406025,406025,1,60,1356000
2014,R1,MITS,IT,UR/S/F,Y,417755,417755,1,60,1356000
2014,R1,MITS,IT,SC/X/F,Y,425375,439258,2,60,1356000
2014,R1,MITS,IT,SC/X/OP,Y,366927,515085,17,60,1356000
2014,R1,MITS,IT,ST/X/F,Y,798756,798756,1,60,1356000
2014,R1,MITS,IT,UR/H/OP,Y,1081262,1081262,1,60,1356000
,,,,,,,,,,
2014,R1,MITS,MECH,UR/X/OP,Y,35721,47525,6,119,1356000
2014,R1,MITS,MECH,OBC/X/OP,Y,32822,50754,8,119,1356000
2014,R1,MITS,MECH,UR/X/OP,Y,30599,59604,39,119,1356000
2014,R1,MITS,MECH,OBC/S/OP,Y,91429,91429,1,119,1356000
2014,R1,MITS,MECH,UR/S/OP,Y,104092,118964,2,119,1356000
2014,R1,MITS,MECH,UR/X/F,Y,85570,123599,13,119,1356000
2014,R1,MITS,MECH,OBC/X/F,Y,102088,185559,4,119,1356000
2014,R1,MITS,MECH,SC/X/OP,Y,164319,211339,12,119,1356000
2014,R1,MITS,MECH,UR/NCC/OP,Y,298093,298093,1,119,1356000
2014,R1,MITS,MECH,OBC/NCC/OP,Y,300213,300213,1,119,1356000
2014,R1,MITS,MECH,UR/FF/OP,Y,373397,373397,1,119,1356000
2014,R1,MITS,MECH,UR/S/F,Y,488082,488082,1,119,1356000
2014,R1,MITS,MECH,SC/X/F,Y,323664,488382,5,119,1356000
2014,R1,MITS,MECH,OBC/H/OP,Y,496994,496994,1,119,1356000
2014,R1,MITS,MECH,ST/X/OP,Y,448826,667983,22,119,1356000
2014,R1,MITS,MECH,OBC/FF/OP,Y,705617,705617,1,119,1356000
2014,R1,MITS,MECH,ST/X/F,Y,738135,738135,1,119,1356000
